FECHA,TMAX,TMIN,TPROM,NOMBRE
Mar-2022,24.20,13.19,18.70,MORON AERO
Abr-2022,22.89,11.37,17.13,MORON AERO
May-2022,18.10,7.07,12.59,MORON AERO
Jun-2022,14.98,4.01,9.49,MORON AERO
Jul-2022,16.25,7.14,11.70,MORON AERO
Ago-2022,18.68,6.95,12.81,MORON AERO
Set-2022,21.03,8.93,14.98,MORON AERO
Oct-2022,23.43,11.37,17.40,MORON AERO
Nov-2022,28.90,17.14,23.02,MORON AERO
Dec-2022,31.15,18.67,24.91,MORON AERO
Ene-2023,32.56,20.51,26.54,MORON AERO
Feb-2023,31.62,18.91,25.26,MORON AERO
Mar-2023,35.92,24.83,30.38,MORON AERO
