,FECHA,TMAX,TMIN,T_AVE,NOMBRE
915,2022-09-11,18.5,0.2,9.35,EL PALOMAR AERO
550,2022-09-11,18.5,6.9,12.7,BUENOS AIRES OBSERVATORIO
185,2022-09-11,17.2,8.6,12.9,AEROPARQUE AERO
1643,2022-09-12,22.1,3.8,12.95,NUEVE DE JULIO
1279,2022-09-12,21.0,6.7,13.85,MORON AERO
914,2022-09-12,20.0,3.2,11.6,EL PALOMAR AERO
549,2022-09-12,19.3,7.6,13.45,BUENOS AIRES OBSERVATORIO
184,2022-09-12,16.6,11.2,13.9,AEROPARQUE AERO
1642,2022-09-13,24.3,5.6,14.95,NUEVE DE JULIO
1278,2022-09-13,20.6,5.5,13.05,MORON AERO
913,2022-09-13,21.0,2.3,11.65,EL PALOMAR AERO
548,2022-09-13,20.2,8.4,14.3,BUENOS AIRES OBSERVATORIO
183,2022-09-13,16.4,10.8,13.6,AEROPARQUE AERO
1641,2022-09-14,25.5,6.8,16.15,NUEVE DE JULIO
1277,2022-09-14,21.6,6.5,14.05,MORON AERO
912,2022-09-14,21.0,3.5,12.25,EL PALOMAR AERO
547,2022-09-14,20.5,9.7,15.1,BUENOS AIRES OBSERVATORIO
182,2022-09-14,17.7,11.6,14.65,AEROPARQUE AERO
1640,2022-09-15,25.2,6.9,16.05,NUEVE DE JULIO
1276,2022-09-15,22.0,9.7,15.85,MORON AERO
911,2022-09-15,22.0,3.7,12.85,EL PALOMAR AERO
546,2022-09-15,21.3,11.8,16.55,BUENOS AIRES OBSERVATORIO
181,2022-09-15,19.6,12.8,16.200000000000003,AEROPARQUE AERO
1639,2022-09-16,26.0,9.6,17.8,NUEVE DE JULIO
1275,2022-09-16,23.2,13.4,18.3,MORON AERO
910,2022-09-16,23.2,13.3,18.25,EL PALOMAR AERO
545,2022-09-16,23.2,14.1,18.65,BUENOS AIRES OBSERVATORIO
180,2022-09-16,21.6,14.0,17.8,AEROPARQUE AERO
1638,2022-09-17,27.0,13.6,20.3,NUEVE DE JULIO
1274,2022-09-17,25.1,14.9,20.0,MORON AERO
909,2022-09-17,24.6,15.0,19.8,EL PALOMAR AERO
544,2022-09-17,24.6,15.6,20.1,BUENOS AIRES OBSERVATORIO
179,2022-09-17,22.7,14.9,18.8,AEROPARQUE AERO
1637,2022-09-18,24.5,14.4,19.45,NUEVE DE JULIO
1273,2022-09-18,23.6,16.1,19.85,MORON AERO
908,2022-09-18,22.0,14.5,18.25,EL PALOMAR AERO
543,2022-09-18,21.8,16.0,18.9,BUENOS AIRES OBSERVATORIO
178,2022-09-18,19.9,15.3,17.6,AEROPARQUE AERO
1636,2022-09-19,17.5,9.4,13.45,NUEVE DE JULIO
1272,2022-09-19,22.0,13.9,17.95,MORON AERO
907,2022-09-19,22.5,11.5,17.0,EL PALOMAR AERO
542,2022-09-19,23.5,15.0,19.25,BUENOS AIRES OBSERVATORIO
177,2022-09-19,22.6,15.6,19.1,AEROPARQUE AERO
1635,2022-09-20,18.0,4.3,11.15,NUEVE DE JULIO
1271,2022-09-20,18.4,7.4,12.9,MORON AERO
906,2022-09-20,18.0,6.8,12.4,EL PALOMAR AERO
541,2022-09-20,17.9,8.4,13.15,BUENOS AIRES OBSERVATORIO
176,2022-09-20,18.6,8.8,13.7,AEROPARQUE AERO
1634,2022-09-21,17.6,10.4,14.0,NUEVE DE JULIO
1270,2022-09-21,18.0,9.1,13.55,MORON AERO
905,2022-09-21,18.5,10.5,14.5,EL PALOMAR AERO
540,2022-09-21,18.2,11.9,15.05,BUENOS AIRES OBSERVATORIO
175,2022-09-21,17.1,12.0,14.55,AEROPARQUE AERO
1633,2022-09-22,18.7,5.9,12.3,NUEVE DE JULIO
1269,2022-09-22,17.8,9.8,13.8,MORON AERO
904,2022-09-22,17.7,8.0,12.85,EL PALOMAR AERO
539,2022-09-22,19.5,10.5,15.0,BUENOS AIRES OBSERVATORIO
174,2022-09-22,19.1,10.3,14.7,AEROPARQUE AERO
1632,2022-09-23,20.4,2.7,11.55,NUEVE DE JULIO
1268,2022-09-23,20.2,3.9,12.05,MORON AERO
903,2022-09-23,20.5,1.5,11.0,EL PALOMAR AERO
538,2022-09-23,20.4,6.0,13.2,BUENOS AIRES OBSERVATORIO
173,2022-09-23,18.1,8.4,13.25,AEROPARQUE AERO
1631,2022-09-24,25.4,8.6,17.0,NUEVE DE JULIO
1267,2022-09-24,22.7,7.9,15.3,MORON AERO
902,2022-09-24,22.5,6.5,14.5,EL PALOMAR AERO
537,2022-09-24,22.4,12.2,17.299999999999997,BUENOS AIRES OBSERVATORIO
172,2022-09-24,20.8,11.8,16.3,AEROPARQUE AERO
1630,2022-09-25,22.8,8.2,15.5,NUEVE DE JULIO
1266,2022-09-25,21.0,12.4,16.7,MORON AERO
901,2022-09-25,21.0,7.2,14.1,EL PALOMAR AERO
536,2022-09-25,22.6,13.5,18.05,BUENOS AIRES OBSERVATORIO
171,2022-09-25,20.2,13.3,16.75,AEROPARQUE AERO
1629,2022-09-26,25.1,9.1,17.1,NUEVE DE JULIO
1265,2022-09-26,24.6,9.5,17.05,MORON AERO
900,2022-09-26,24.5,8.5,16.5,EL PALOMAR AERO
535,2022-09-26,24.5,13.3,18.9,BUENOS AIRES OBSERVATORIO
170,2022-09-26,21.0,14.6,17.8,AEROPARQUE AERO
1628,2022-09-27,26.2,9.7,17.95,NUEVE DE JULIO
1264,2022-09-27,26.4,10.9,18.65,MORON AERO
899,2022-09-27,27.2,5.3,16.25,EL PALOMAR AERO
534,2022-09-27,27.8,12.4,20.1,BUENOS AIRES OBSERVATORIO
169,2022-09-27,23.1,13.7,18.4,AEROPARQUE AERO
1627,2022-09-28,20.6,4.7,12.65,NUEVE DE JULIO
1263,2022-09-28,19.6,7.9,13.75,MORON AERO
898,2022-09-28,18.5,6.5,12.5,EL PALOMAR AERO
533,2022-09-28,18.5,9.8,14.15,BUENOS AIRES OBSERVATORIO
168,2022-09-28,17.1,11.3,14.2,AEROPARQUE AERO
1626,2022-09-29,21.4,5.1,13.25,NUEVE DE JULIO
1262,2022-09-29,18.6,10.8,14.7,MORON AERO
897,2022-09-29,18.5,10.4,14.45,EL PALOMAR AERO
532,2022-09-29,18.1,11.5,14.8,BUENOS AIRES OBSERVATORIO
167,2022-09-29,17.5,11.0,14.25,AEROPARQUE AERO
1625,2022-09-30,23.7,7.2,15.45,NUEVE DE JULIO
1261,2022-09-30,20.5,10.7,15.6,MORON AERO
896,2022-09-30,21.0,6.5,13.75,EL PALOMAR AERO
531,2022-09-30,20.6,12.0,16.3,BUENOS AIRES OBSERVATORIO
166,2022-09-30,18.6,12.4,15.5,AEROPARQUE AERO
1624,2022-10-01,26.8,8.3,17.55,NUEVE DE JULIO
1260,2022-10-01,25.0,8.4,16.7,MORON AERO
895,2022-10-01,25.0,5.0,15.0,EL PALOMAR AERO
530,2022-10-01,23.6,10.9,17.25,BUENOS AIRES OBSERVATORIO
165,2022-10-01,20.6,12.9,16.75,AEROPARQUE AERO
1623,2022-10-02,28.7,10.9,19.8,NUEVE DE JULIO
1259,2022-10-02,27.4,11.1,19.25,MORON AERO
894,2022-10-02,27.9,6.0,16.95,EL PALOMAR AERO
529,2022-10-02,27.9,12.5,20.2,BUENOS AIRES OBSERVATORIO
164,2022-10-02,22.1,13.2,17.65,AEROPARQUE AERO
1622,2022-10-03,25.0,6.8,15.9,NUEVE DE JULIO
1258,2022-10-03,19.5,9.9,14.7,MORON AERO
893,2022-10-03,19.5,10.5,15.0,EL PALOMAR AERO
528,2022-10-03,18.8,11.4,15.1,BUENOS AIRES OBSERVATORIO
163,2022-10-03,17.2,11.0,14.1,AEROPARQUE AERO
1621,2022-10-04,24.8,7.5,16.15,NUEVE DE JULIO
1257,2022-10-04,20.6,11.0,15.8,MORON AERO
892,2022-10-04,21.0,11.0,16.0,EL PALOMAR AERO
527,2022-10-04,20.4,11.5,15.95,BUENOS AIRES OBSERVATORIO
162,2022-10-04,19.2,11.3,15.25,AEROPARQUE AERO
1620,2022-10-05,18.6,11.3,14.95,NUEVE DE JULIO
1256,2022-10-05,22.5,13.9,18.2,MORON AERO
891,2022-10-05,23.3,13.8,18.55,EL PALOMAR AERO
526,2022-10-05,23.5,14.4,18.95,BUENOS AIRES OBSERVATORIO
161,2022-10-05,21.2,13.8,17.5,AEROPARQUE AERO
1619,2022-10-06,25.6,11.5,18.55,NUEVE DE JULIO
1255,2022-10-06,22.0,13.5,17.75,MORON AERO
890,2022-10-06,22.0,12.0,17.0,EL PALOMAR AERO
525,2022-10-06,22.5,14.4,18.45,BUENOS AIRES OBSERVATORIO
160,2022-10-06,23.1,14.3,18.700000000000003,AEROPARQUE AERO
1618,2022-10-07,29.0,8.1,18.55,NUEVE DE JULIO
1254,2022-10-07,29.2,8.3,18.75,MORON AERO
889,2022-10-07,28.5,6.0,17.25,EL PALOMAR AERO
524,2022-10-07,29.0,10.2,19.6,BUENOS AIRES OBSERVATORIO
159,2022-10-07,28.6,12.5,20.55,AEROPARQUE AERO
1617,2022-10-08,22.4,8.9,15.65,NUEVE DE JULIO
1253,2022-10-08,22.8,8.1,15.45,MORON AERO
888,2022-10-08,22.1,8.5,15.3,EL PALOMAR AERO
523,2022-10-08,23.0,9.4,16.2,BUENOS AIRES OBSERVATORIO
158,2022-10-08,22.6,9.3,15.95,AEROPARQUE AERO
1616,2022-10-09,22.2,2.8,12.5,NUEVE DE JULIO
1252,2022-10-09,20.2,4.0,12.1,MORON AERO
887,2022-10-09,21.0,2.0,11.5,EL PALOMAR AERO
522,2022-10-09,21.8,5.9,13.85,BUENOS AIRES OBSERVATORIO
157,2022-10-09,21.1,6.3,13.7,AEROPARQUE AERO
1615,2022-10-10,24.8,6.5,15.65,NUEVE DE JULIO
1251,2022-10-10,22.4,7.0,14.7,MORON AERO
886,2022-10-10,21.6,0.4,11.0,EL PALOMAR AERO
521,2022-10-10,21.3,8.8,15.05,BUENOS AIRES OBSERVATORIO
156,2022-10-10,19.4,10.3,14.85,AEROPARQUE AERO
1614,2022-10-11,25.0,6.5,15.75,NUEVE DE JULIO
1250,2022-10-11,22.6,10.5,16.55,MORON AERO
885,2022-10-11,22.0,9.8,15.9,EL PALOMAR AERO
520,2022-10-11,21.3,12.2,16.75,BUENOS AIRES OBSERVATORIO
155,2022-10-11,18.6,12.8,15.7,AEROPARQUE AERO
1613,2022-10-12,27.6,8.7,18.15,NUEVE DE JULIO
1249,2022-10-12,29.7,10.5,20.1,MORON AERO
884,2022-10-12,29.7,5.0,17.35,EL PALOMAR AERO
519,2022-10-12,29.5,12.1,20.8,BUENOS AIRES OBSERVATORIO
154,2022-10-12,29.1,11.4,20.25,AEROPARQUE AERO
1612,2022-10-13,18.9,7.2,13.05,NUEVE DE JULIO
1248,2022-10-13,22.8,10.4,16.6,MORON AERO
883,2022-10-13,24.7,11.0,17.85,EL PALOMAR AERO
518,2022-10-13,24.4,12.0,18.2,BUENOS AIRES OBSERVATORIO
153,2022-10-13,24.6,11.3,17.950000000000003,AEROPARQUE AERO
1611,2022-10-14,20.0,4.5,12.25,NUEVE DE JULIO
1247,2022-10-14,17.0,9.3,13.15,MORON AERO
882,2022-10-14,17.0,9.0,13.0,EL PALOMAR AERO
517,2022-10-14,17.2,10.7,13.95,BUENOS AIRES OBSERVATORIO
152,2022-10-14,16.4,11.1,13.75,AEROPARQUE AERO
1610,2022-10-15,20.8,6.2,13.5,NUEVE DE JULIO
1246,2022-10-15,15.2,9.7,12.45,MORON AERO
881,2022-10-15,15.2,12.6,13.9,EL PALOMAR AERO
516,2022-10-15,15.8,13.0,14.4,BUENOS AIRES OBSERVATORIO
151,2022-10-15,15.6,12.3,13.95,AEROPARQUE AERO
1609,2022-10-16,23.7,6.8,15.25,NUEVE DE JULIO
1245,2022-10-16,20.0,7.9,13.95,MORON AERO
880,2022-10-16,20.0,8.0,14.0,EL PALOMAR AERO
515,2022-10-16,20.0,11.2,15.6,BUENOS AIRES OBSERVATORIO
150,2022-10-16,18.8,12.4,15.6,AEROPARQUE AERO
1608,2022-10-17,23.5,9.5,16.5,NUEVE DE JULIO
1244,2022-10-17,20.8,10.9,15.85,MORON AERO
879,2022-10-17,20.6,10.3,15.45,EL PALOMAR AERO
514,2022-10-17,20.3,12.6,16.45,BUENOS AIRES OBSERVATORIO
149,2022-10-17,19.3,14.1,16.7,AEROPARQUE AERO
1607,2022-10-18,22.0,10.1,16.05,NUEVE DE JULIO
1243,2022-10-18,23.1,12.9,18.0,MORON AERO
878,2022-10-18,23.0,14.5,18.75,EL PALOMAR AERO
513,2022-10-18,23.0,15.0,19.0,BUENOS AIRES OBSERVATORIO
148,2022-10-18,21.1,14.8,17.950000000000003,AEROPARQUE AERO
1606,2022-10-19,25.5,10.8,18.15,NUEVE DE JULIO
1242,2022-10-19,24.2,16.8,20.5,MORON AERO
877,2022-10-19,23.9,17.3,20.6,EL PALOMAR AERO
512,2022-10-19,22.8,17.3,20.05,BUENOS AIRES OBSERVATORIO
147,2022-10-19,21.1,16.4,18.75,AEROPARQUE AERO
1605,2022-10-20,27.7,15.3,21.5,NUEVE DE JULIO
1241,2022-10-20,26.6,17.2,21.9,MORON AERO
876,2022-10-20,26.0,17.0,21.5,EL PALOMAR AERO
511,2022-10-20,25.4,18.7,22.05,BUENOS AIRES OBSERVATORIO
146,2022-10-20,21.5,17.3,19.4,AEROPARQUE AERO
1604,2022-10-21,25.1,10.8,17.950000000000003,NUEVE DE JULIO
1240,2022-10-21,25.9,13.4,19.65,MORON AERO
875,2022-10-21,25.4,12.0,18.7,EL PALOMAR AERO
510,2022-10-21,24.6,16.0,20.3,BUENOS AIRES OBSERVATORIO
145,2022-10-21,21.7,16.3,19.0,AEROPARQUE AERO
1603,2022-10-22,17.0,7.3,12.15,NUEVE DE JULIO
1239,2022-10-22,17.8,10.3,14.05,MORON AERO
874,2022-10-22,17.4,10.4,13.9,EL PALOMAR AERO
509,2022-10-22,16.7,10.6,13.65,BUENOS AIRES OBSERVATORIO
144,2022-10-22,17.1,10.8,13.95,AEROPARQUE AERO
1602,2022-10-23,22.9,4.9,13.9,NUEVE DE JULIO
1238,2022-10-23,20.9,6.9,13.9,MORON AERO
873,2022-10-23,19.8,5.0,12.4,EL PALOMAR AERO
508,2022-10-23,19.6,9.4,14.5,BUENOS AIRES OBSERVATORIO
143,2022-10-23,18.8,10.8,14.8,AEROPARQUE AERO
1601,2022-10-24,29.4,11.0,20.2,NUEVE DE JULIO
1237,2022-10-24,25.4,13.0,19.2,MORON AERO
872,2022-10-24,25.5,13.5,19.5,EL PALOMAR AERO
507,2022-10-24,24.8,15.1,19.95,BUENOS AIRES OBSERVATORIO
142,2022-10-24,24.1,15.3,19.700000000000003,AEROPARQUE AERO
1236,2022-10-25,27.5,17.4,22.45,MORON AERO
871,2022-10-25,27.5,14.0,20.75,EL PALOMAR AERO
506,2022-10-25,27.5,17.5,22.5,BUENOS AIRES OBSERVATORIO
141,2022-10-25,25.6,17.5,21.55,AEROPARQUE AERO
1600,2022-10-26,24.2,14.5,19.35,NUEVE DE JULIO
1235,2022-10-26,23.0,17.5,20.25,MORON AERO
870,2022-10-26,23.5,17.4,20.45,EL PALOMAR AERO
505,2022-10-26,24.0,17.6,20.8,BUENOS AIRES OBSERVATORIO
140,2022-10-26,24.7,17.1,20.9,AEROPARQUE AERO
1599,2022-10-27,27.6,11.1,19.35,NUEVE DE JULIO
1234,2022-10-27,28.0,13.3,20.65,MORON AERO
869,2022-10-27,28.0,14.5,21.25,EL PALOMAR AERO
504,2022-10-27,28.2,15.1,21.65,BUENOS AIRES OBSERVATORIO
139,2022-10-27,28.6,15.3,21.950000000000003,AEROPARQUE AERO
1598,2022-10-28,28.8,14.7,21.75,NUEVE DE JULIO
1233,2022-10-28,33.6,15.3,24.450000000000003,MORON AERO
868,2022-10-28,34.0,9.0,21.5,EL PALOMAR AERO
503,2022-10-28,34.8,18.4,26.6,BUENOS AIRES OBSERVATORIO
138,2022-10-28,34.6,17.2,25.9,AEROPARQUE AERO
1597,2022-10-29,26.1,11.6,18.85,NUEVE DE JULIO
1232,2022-10-29,30.8,17.4,24.1,MORON AERO
867,2022-10-29,30.2,13.6,21.9,EL PALOMAR AERO
502,2022-10-29,31.0,19.0,25.0,BUENOS AIRES OBSERVATORIO
137,2022-10-29,30.1,19.1,24.6,AEROPARQUE AERO
1596,2022-10-30,19.8,10.9,15.35,NUEVE DE JULIO
1231,2022-10-30,22.8,11.4,17.1,MORON AERO
866,2022-10-30,22.5,10.0,16.25,EL PALOMAR AERO
501,2022-10-30,22.6,11.4,17.0,BUENOS AIRES OBSERVATORIO
136,2022-10-30,22.2,11.4,16.8,AEROPARQUE AERO
1595,2022-10-31,19.0,5.3,12.15,NUEVE DE JULIO
1230,2022-10-31,17.0,5.4,11.2,MORON AERO
865,2022-10-31,17.0,6.4,11.7,EL PALOMAR AERO
500,2022-10-31,17.8,7.7,12.75,BUENOS AIRES OBSERVATORIO
135,2022-10-31,17.0,7.8,12.4,AEROPARQUE AERO
1594,2022-11-01,25.0,4.9,14.95,NUEVE DE JULIO
1229,2022-11-01,24.0,4.5,14.25,MORON AERO
864,2022-11-01,24.0,1.4,12.7,EL PALOMAR AERO
499,2022-11-01,22.5,6.6,14.55,BUENOS AIRES OBSERVATORIO
134,2022-11-01,19.9,9.3,14.6,AEROPARQUE AERO
1593,2022-11-02,28.0,9.3,18.65,NUEVE DE JULIO
1228,2022-11-02,27.6,10.9,19.25,MORON AERO
863,2022-11-02,27.0,6.0,16.5,EL PALOMAR AERO
498,2022-11-02,26.4,12.8,19.6,BUENOS AIRES OBSERVATORIO
133,2022-11-02,24.7,11.8,18.25,AEROPARQUE AERO
1592,2022-11-03,29.5,11.2,20.35,NUEVE DE JULIO
1227,2022-11-03,28.4,11.5,19.95,MORON AERO
862,2022-11-03,27.2,6.4,16.8,EL PALOMAR AERO
497,2022-11-03,26.7,12.4,19.55,BUENOS AIRES OBSERVATORIO
132,2022-11-03,23.7,16.2,19.95,AEROPARQUE AERO
1591,2022-11-04,29.2,10.2,19.7,NUEVE DE JULIO
1226,2022-11-04,24.4,15.4,19.9,MORON AERO
861,2022-11-04,24.0,15.3,19.65,EL PALOMAR AERO
496,2022-11-04,23.8,15.6,19.7,BUENOS AIRES OBSERVATORIO
131,2022-11-04,22.8,14.8,18.8,AEROPARQUE AERO
1590,2022-11-05,27.5,11.9,19.7,NUEVE DE JULIO
1225,2022-11-05,24.4,15.4,19.9,MORON AERO
860,2022-11-05,24.5,15.5,20.0,EL PALOMAR AERO
495,2022-11-05,24.5,16.0,20.25,BUENOS AIRES OBSERVATORIO
130,2022-11-05,23.1,15.8,19.450000000000003,AEROPARQUE AERO
1589,2022-11-06,29.0,12.6,20.8,NUEVE DE JULIO
1224,2022-11-06,25.4,15.3,20.35,MORON AERO
859,2022-11-06,25.5,16.4,20.95,EL PALOMAR AERO
494,2022-11-06,25.4,16.5,20.95,BUENOS AIRES OBSERVATORIO
129,2022-11-06,23.6,16.0,19.8,AEROPARQUE AERO
1588,2022-11-07,29.5,13.1,21.3,NUEVE DE JULIO
1223,2022-11-07,26.0,16.9,21.45,MORON AERO
858,2022-11-07,26.0,16.5,21.25,EL PALOMAR AERO
493,2022-11-07,25.7,17.5,21.6,BUENOS AIRES OBSERVATORIO
128,2022-11-07,24.4,16.0,20.2,AEROPARQUE AERO
1587,2022-11-08,29.4,12.7,21.05,NUEVE DE JULIO
1222,2022-11-08,25.6,15.5,20.55,MORON AERO
857,2022-11-08,25.8,14.5,20.15,EL PALOMAR AERO
492,2022-11-08,25.8,16.0,20.9,BUENOS AIRES OBSERVATORIO
127,2022-11-08,24.5,15.8,20.15,AEROPARQUE AERO
1586,2022-11-09,30.0,13.2,21.6,NUEVE DE JULIO
1221,2022-11-09,26.8,16.7,21.75,MORON AERO
856,2022-11-09,26.5,15.8,21.15,EL PALOMAR AERO
491,2022-11-09,26.0,17.0,21.5,BUENOS AIRES OBSERVATORIO
126,2022-11-09,24.1,16.6,20.35,AEROPARQUE AERO
1585,2022-11-10,27.0,14.9,20.95,NUEVE DE JULIO
1220,2022-11-10,27.2,17.8,22.5,MORON AERO
855,2022-11-10,27.5,17.5,22.5,EL PALOMAR AERO
490,2022-11-10,27.6,17.5,22.55,BUENOS AIRES OBSERVATORIO
125,2022-11-10,25.6,17.3,21.450000000000003,AEROPARQUE AERO
1584,2022-11-11,28.1,14.8,21.450000000000003,NUEVE DE JULIO
1219,2022-11-11,30.5,15.5,23.0,MORON AERO
854,2022-11-11,30.1,13.6,21.85,EL PALOMAR AERO
489,2022-11-11,29.8,18.0,23.9,BUENOS AIRES OBSERVATORIO
124,2022-11-11,27.6,18.8,23.200000000000003,AEROPARQUE AERO
1583,2022-11-12,25.7,15.3,20.5,NUEVE DE JULIO
1218,2022-11-12,27.0,20.5,23.75,MORON AERO
853,2022-11-12,28.0,19.5,23.75,EL PALOMAR AERO
488,2022-11-12,28.0,20.4,24.2,BUENOS AIRES OBSERVATORIO
123,2022-11-12,26.8,20.2,23.5,AEROPARQUE AERO
1582,2022-11-13,25.0,16.3,20.65,NUEVE DE JULIO
1217,2022-11-13,26.5,18.5,22.5,MORON AERO
852,2022-11-13,26.0,17.8,21.9,EL PALOMAR AERO
487,2022-11-13,26.5,18.8,22.65,BUENOS AIRES OBSERVATORIO
122,2022-11-13,25.1,18.7,21.9,AEROPARQUE AERO
1581,2022-11-14,26.0,13.4,19.7,NUEVE DE JULIO
1216,2022-11-14,23.6,15.5,19.55,MORON AERO
851,2022-11-14,23.8,15.7,19.75,EL PALOMAR AERO
486,2022-11-14,22.7,16.0,19.35,BUENOS AIRES OBSERVATORIO
121,2022-11-14,23.5,15.6,19.55,AEROPARQUE AERO
1580,2022-11-15,31.8,12.5,22.15,NUEVE DE JULIO
1215,2022-11-15,32.6,14.5,23.55,MORON AERO
850,2022-11-15,32.4,11.0,21.7,EL PALOMAR AERO
485,2022-11-15,32.8,15.0,23.9,BUENOS AIRES OBSERVATORIO
120,2022-11-15,32.7,16.3,24.5,AEROPARQUE AERO
1579,2022-11-16,36.0,16.3,26.15,NUEVE DE JULIO
1214,2022-11-16,36.4,17.3,26.85,MORON AERO
849,2022-11-16,35.0,12.8,23.9,EL PALOMAR AERO
484,2022-11-16,34.0,17.0,25.5,BUENOS AIRES OBSERVATORIO
119,2022-11-16,29.6,19.4,24.5,AEROPARQUE AERO
1578,2022-11-17,27.6,19.1,23.35,NUEVE DE JULIO
1213,2022-11-17,31.2,22.2,26.7,MORON AERO
848,2022-11-17,31.2,22.5,26.85,EL PALOMAR AERO
483,2022-11-17,31.0,22.9,26.95,BUENOS AIRES OBSERVATORIO
118,2022-11-17,29.6,21.1,25.35,AEROPARQUE AERO
1577,2022-11-18,33.6,18.3,25.950000000000003,NUEVE DE JULIO
1212,2022-11-18,31.5,21.1,26.3,MORON AERO
847,2022-11-18,31.5,22.2,26.85,EL PALOMAR AERO
482,2022-11-18,30.3,22.4,26.35,BUENOS AIRES OBSERVATORIO
117,2022-11-18,28.0,21.3,24.65,AEROPARQUE AERO
1576,2022-11-19,30.0,16.8,23.4,NUEVE DE JULIO
1211,2022-11-19,33.2,23.6,28.4,MORON AERO
846,2022-11-19,32.5,22.0,27.25,EL PALOMAR AERO
481,2022-11-19,31.5,23.7,27.6,BUENOS AIRES OBSERVATORIO
116,2022-11-19,29.8,22.5,26.15,AEROPARQUE AERO
1575,2022-11-20,24.6,15.9,20.25,NUEVE DE JULIO
1210,2022-11-20,27.5,20.5,24.0,MORON AERO
845,2022-11-20,28.0,19.5,23.75,EL PALOMAR AERO
480,2022-11-20,29.6,19.8,24.700000000000003,BUENOS AIRES OBSERVATORIO
115,2022-11-20,29.5,17.8,23.65,AEROPARQUE AERO
1574,2022-11-21,20.7,10.9,15.8,NUEVE DE JULIO
1209,2022-11-21,20.6,14.5,17.55,MORON AERO
844,2022-11-21,20.0,14.5,17.25,EL PALOMAR AERO
479,2022-11-21,19.8,15.5,17.65,BUENOS AIRES OBSERVATORIO
114,2022-11-21,19.6,14.7,17.15,AEROPARQUE AERO
1573,2022-11-22,25.0,8.2,16.6,NUEVE DE JULIO
1208,2022-11-22,24.0,12.0,18.0,MORON AERO
843,2022-11-22,24.0,12.8,18.4,EL PALOMAR AERO
478,2022-11-22,24.7,14.2,19.45,BUENOS AIRES OBSERVATORIO
113,2022-11-22,24.2,13.3,18.75,AEROPARQUE AERO
1572,2022-11-23,34.5,11.9,23.2,NUEVE DE JULIO
1207,2022-11-23,32.0,13.5,22.75,MORON AERO
842,2022-11-23,31.2,8.5,19.85,EL PALOMAR AERO
477,2022-11-23,30.5,13.6,22.05,BUENOS AIRES OBSERVATORIO
112,2022-11-23,28.6,14.8,21.700000000000003,AEROPARQUE AERO
1571,2022-11-24,34.0,16.0,25.0,NUEVE DE JULIO
1206,2022-11-24,38.0,18.1,28.05,MORON AERO
841,2022-11-24,37.0,17.4,27.2,EL PALOMAR AERO
476,2022-11-24,34.5,19.6,27.05,BUENOS AIRES OBSERVATORIO
111,2022-11-24,31.9,18.5,25.2,AEROPARQUE AERO
1570,2022-11-25,32.5,12.4,22.45,NUEVE DE JULIO
1205,2022-11-25,28.2,16.9,22.55,MORON AERO
840,2022-11-25,28.5,16.4,22.45,EL PALOMAR AERO
475,2022-11-25,29.4,16.2,22.8,BUENOS AIRES OBSERVATORIO
110,2022-11-25,29.8,17.2,23.5,AEROPARQUE AERO
1569,2022-11-26,38.4,16.6,27.5,NUEVE DE JULIO
1204,2022-11-26,33.6,20.3,26.950000000000003,MORON AERO
839,2022-11-26,33.6,20.4,27.0,EL PALOMAR AERO
474,2022-11-26,32.7,20.2,26.450000000000003,BUENOS AIRES OBSERVATORIO
109,2022-11-26,28.4,20.1,24.25,AEROPARQUE AERO
1568,2022-11-27,35.4,18.2,26.8,NUEVE DE JULIO
1203,2022-11-27,32.4,21.9,27.15,MORON AERO
838,2022-11-27,32.5,21.9,27.2,EL PALOMAR AERO
473,2022-11-27,31.4,22.2,26.8,BUENOS AIRES OBSERVATORIO
108,2022-11-27,29.1,21.7,25.4,AEROPARQUE AERO
1567,2022-11-28,36.5,18.4,27.45,NUEVE DE JULIO
1202,2022-11-28,33.0,23.1,28.05,MORON AERO
837,2022-11-28,32.5,22.6,27.55,EL PALOMAR AERO
472,2022-11-28,31.7,21.4,26.55,BUENOS AIRES OBSERVATORIO
107,2022-11-28,30.0,22.3,26.15,AEROPARQUE AERO
1566,2022-11-29,37.4,21.1,29.25,NUEVE DE JULIO
1201,2022-11-29,33.8,23.1,28.45,MORON AERO
836,2022-11-29,33.5,22.7,28.1,EL PALOMAR AERO
471,2022-11-29,33.0,23.1,28.05,BUENOS AIRES OBSERVATORIO
106,2022-11-29,32.1,22.7,27.4,AEROPARQUE AERO
1565,2022-11-30,28.0,18.9,23.45,NUEVE DE JULIO
1200,2022-11-30,31.7,21.6,26.65,MORON AERO
835,2022-11-30,31.0,21.8,26.4,EL PALOMAR AERO
470,2022-11-30,30.5,23.0,26.75,BUENOS AIRES OBSERVATORIO
105,2022-11-30,28.1,23.4,25.75,AEROPARQUE AERO
1564,2022-12-01,26.7,14.3,20.5,NUEVE DE JULIO
1199,2022-12-01,24.4,17.9,21.15,MORON AERO
834,2022-12-01,24.4,17.8,21.1,EL PALOMAR AERO
469,2022-12-01,24.4,17.9,21.15,BUENOS AIRES OBSERVATORIO
104,2022-12-01,24.4,17.8,21.1,AEROPARQUE AERO
1563,2022-12-02,29.8,13.6,21.7,NUEVE DE JULIO
1198,2022-12-02,28.8,13.1,20.95,MORON AERO
833,2022-12-02,28.0,14.0,21.0,EL PALOMAR AERO
468,2022-12-02,27.0,15.4,21.2,BUENOS AIRES OBSERVATORIO
